WHEN_TIMESTAMP,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id
2020-07-06 00:00:00.000,34,0,0,0,1,0,0,0,1591
2020-04-20 00:00:00.000,0,0,0,0,0,0,0,0,1785
2020-05-04 00:00:00.000,94,0,106,1,3,0,2,1,204
2019-10-28 00:00:00.000,12,0,13,0,4,0,3,0,90
2019-02-18 00:00:00.000,68,1,9,0,7,1,2,0,107
2019-04-15 00:00:00.000,175,0,0,0,5,0,0,0,4
2019-07-15 00:00:00.000,17,1,1,0,2,1,1,0,2327
2019-09-16 00:00:00.000,207,39,16,0,3,2,4,0,79
2019-12-09 00:00:00.000,56,1,27,0,2,1,2,0,3947
2020-07-20 00:00:00.000,14,0,0,0,1,0,0,0,97
2020-03-23 00:00:00.000,11,7,9,0,3,2,2,0,145
2020-02-24 00:00:00.000,3,0,0,0,1,0,0,0,3562
2019-07-22 00:00:00.000,0,1,7,0,0,1,1,0,417
2020-07-20 00:00:00.000,0,0,0,0,0,0,0,0,188
2019-12-30 00:00:00.000,0,0,0,0,0,0,0,0,4374
2020-01-13 00:00:00.000,7,13,30,0,3,2,2,0,3608
2019-09-16 00:00:00.000,0,0,0,0,0,0,0,0,1713
2019-10-21 00:00:00.000,77,14,60,8,5,4,4,2,5
2020-04-27 00:00:00.000,538,2,63,1,12,2,5,1,115
2019-07-29 00:00:00.000,1,1,54,0,1,1,6,0,125
2020-05-18 00:00:00.000,0,0,0,0,0,0,0,0,214
2019-10-07 00:00:00.000,0,0,0,0,0,0,0,0,168
2019-11-18 00:00:00.000,25,0,20,0,1,0,1,0,1356
2019-09-09 00:00:00.000,117,38,39,0,3,2,3,0,79
2019-05-27 00:00:00.000,0,0,0,0,0,0,0,0,206
2019-05-27 00:00:00.000,0,0,0,0,0,0,0,0,3425
2019-11-18 00:00:00.000,0,0,0,0,0,0,0,0,2269
2019-12-02 00:00:00.000,0,0,0,0,0,0,0,0,3490
2020-07-13 00:00:00.000,0,0,0,0,0,0,0,0,3443
2020-06-08 00:00:00.000,0,0,0,0,0,0,0,0,764
2019-02-18 00:00:00.000,1,0,0,0,1,0,0,0,20
2020-06-01 00:00:00.000,0,0,0,0,0,0,0,0,138
2020-01-27 00:00:00.000,4,0,0,0,1,0,0,0,4699
2020-07-13 00:00:00.000,63,25,89,0,4,4,7,0,176
2020-04-20 00:00:00.000,0,0,0,0,0,0,0,0,4611
2020-01-06 00:00:00.000,1,0,0,0,1,0,0,0,3959
2020-06-29 00:00:00.000,1,5,0,0,1,1,0,0,1947
2019-11-11 00:00:00.000,234,8,196,0,6,4,7,0,111
2020-07-27 00:00:00.000,0,0,0,0,0,0,0,0,1650
2020-06-29 00:00:00.000,1,4,0,0,1,1,0,0,4602
2019-08-26 00:00:00.000,155,29,113,0,7,3,5,0,91
2019-12-30 00:00:00.000,0,0,0,0,0,0,0,0,192
2019-12-02 00:00:00.000,0,0,0,0,0,0,0,0,2523
2019-07-08 00:00:00.000,111,102,2,0,2,2,1,0,4129
2019-09-09 00:00:00.000,48,41,14,0,2,2,2,0,4602
