IS_CUSTOMER_TS,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,ALEXA_RANK_final,Employee_Range_Final,Industry_final
Y,346.07142857142856,0,207.5,20.785714285714285,11.142857142857142,0,6.785714285714286,1.1428571428571428,175324,201 to 1000,HIGHER_EDUCATION
N,58,11,1,0,2,2,1,0,16000001,2 to 5,Business Consulting
Y,225.5079365079365,35.3968253968254,108.26984126984127,0.06349206349206349,2.619047619047619,1.2380952380952381,1.6349206349206349,0.031746031746031744,16000001,2 to 5,Business Consulting
N,52.23255813953488,12.488372093023257,11.906976744186046,0.09302325581395349,1.0232558139534884,0.4418604651162791,0.23255813953488372,0.09302325581395349,3644312,51 to 200,COMPUTER_SOFTWARE
Y,73.66666666666667,2.3333333333333335,38.333333333333336,0,2,1.3333333333333333,2,0,3644312,51 to 200,COMPUTER_SOFTWARE
N,10.5,4.5,2.5,0,1.5,1,1,0,16000001,2 to 5,
Y,8.826086956521738,20.391304347826086,2.0434782608695654,0,1.173913043478261,0.6521739130434783,0.21739130434782608,0,16000001,2 to 5,
N,64,27.333333333333332,0,0,3.6666666666666665,3.3333333333333335,0,0,16000001,6 to 10,
Y,15.627906976744185,9.55813953488372,0,0,1.627906976744186,1.2325581395348837,0,0,16000001,6 to 10,
N,60.857142857142854,19.142857142857142,0.5714285714285714,0,1.8571428571428572,1.1428571428571428,0.42857142857142855,0,3822357,26 to 50,Consulting/Advisory
Y,228.96226415094338,71.88679245283019,25.71698113207547,2.30188679245283,4.037735849056604,3.547169811320755,3.509433962264151,0.32075471698113206,3822357,26 to 50,Consulting/Advisory
N,42.714285714285715,74.04761904761905,8.619047619047619,0,0.9047619047619048,0.8571428571428571,0.5238095238095238,0,16000001,6 to 10,FINANCIAL_SERVICES
Y,171.27777777777777,3.888888888888889,2.888888888888889,0.3888888888888889,1.8888888888888888,0.6111111111111112,0.1111111111111111,0.16666666666666666,16000001,6 to 10,FINANCIAL_SERVICES
N,0.7368421052631579,0.15789473684210525,0.3684210526315789,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.15789473684210525,0.05263157894736842,681880,6 to 10,
Y,8.153846153846153,0.07692307692307693,1.2307692307692308,2.576923076923077,1.6923076923076923,0.07692307692307693,0.34615384615384615,0.9615384615384616,681880,6 to 10,
N,44,0,0,0,1,0,0,0,598275,11 to 25,
Y,1886.7058823529412,0.0392156862745098,226.2156862745098,1.4901960784313726,16.313725490196077,0.0392156862745098,8.196078431372548,0.8235294117647058,598275,11 to 25,
N,0,0,0,0,0,0,0,0,16000001,6 to 10,
Y,46,1.2,109.4,0,4.4,0.6,4.4,0,16000001,6 to 10,
Y,1.75,0,0,0,0.75,0,0,0,3206801,26 to 50,COMPUTER_SOFTWARE
N,1025.75,836,201.375,30.625,35.75,45.375,23,4,917585,201 to 1000,
Y,790.6290322580645,812.7258064516129,207.96774193548387,20.483870967741936,34.645161290322584,45.225806451612904,26.274193548387096,4.016129032258065,917585,201 to 1000,
N,2.642857142857143,0.8571428571428571,0.2857142857142857,0,0.42857142857142855,0.21428571428571427,0.14285714285714285,0,3140042,26 to 50,
Y,10.307692307692308,1.3076923076923077,10.23076923076923,0.15384615384615385,2.1538461538461537,0.7692307692307693,0.5384615384615384,0.07692307692307693,3140042,26 to 50,
Y,48.22857142857143,6.371428571428571,1.4285714285714286,0.05714285714285714,2.5142857142857142,0.7714285714285715,0.7142857142857143,0.05714285714285714,16000001,6 to 10,
N,9.26086956521739,0.8260869565217391,0.41304347826086957,0.6086956521739131,0.7608695652173914,0.10869565217391304,0.06521739130434782,0.2608695652173913,84533,51 to 200,INFORMATION_TECHNOLOGY_AND_SERVICES
Y,610.8260869565217,441.4782608695652,100.91304347826087,1.0869565217391304,11.08695652173913,9.956521739130435,9.91304347826087,0.6086956521739131,84533,51 to 200,INFORMATION_TECHNOLOGY_AND_SERVICES
N,9.166666666666666,13.38888888888889,10.305555555555555,0,2.611111111111111,1.3055555555555556,1.9444444444444444,0,1074858,6 to 10,
Y,5.78125,14.96875,11,0.125,2.09375,4.03125,1.8125,0.09375,1074858,6 to 10,
N,63.5,33,12.5,1,6.5,2.5,2,0.5,16000001,6 to 10,
Y,23.818181818181817,0.22727272727272727,23.90909090909091,0.2727272727272727,3.272727272727273,0.18181818181818182,1.9090909090909092,0.13636363636363635,16000001,6 to 10,
Y,51.49090909090909,2.4909090909090907,56.763636363636365,0.4727272727272727,2.1636363636363636,0.5818181818181818,2.018181818181818,0.14545454545454545,16000001,26 to 50,OIL_ENERGY
N,0,0,0,0,0,0,0,0,347938,51 to 200,
Y,2948.478260869565,32.52173913043478,226.04347826086956,5.217391304347826,12,1.4782608695652173,8.652173913043478,1.173913043478261,347938,51 to 200,
N,2.738095238095238,1.8333333333333333,0.11904761904761904,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.047619047619047616,0.047619047619047616,16000001,11 to 25,
Y,56.625,17.9375,6.25,1.0625,2.9375,2.125,1.1875,0.375,16000001,11 to 25,
N,0,8,0,0,0,1,0,0,3275506,11 to 25,
Y,2.1666666666666665,1.625,0.5833333333333334,0.125,0.3333333333333333,0.3333333333333333,0.125,0.041666666666666664,3275506,11 to 25,
N,82,1.8,3,0,1.2,0.4,0.4,0,5689841,51 to 200,OIL_ENERGY
Y,45.77777777777778,9.222222222222221,12.777777777777779,0.3333333333333333,2.7777777777777777,2.111111111111111,2.3333333333333335,0.1111111111111111,5689841,51 to 200,OIL_ENERGY
N,0,0,0,0,0,0,0,0,4206971,201 to 1000,
Y,23,6,3,0,1,2,1,0,4206971,201 to 1000,
N,30,10,2,0,2,1,1,0,3824200,11 to 25,
Y,24.25,2.25,1,0,2.25,1,0.75,0,3824200,11 to 25,
N,81.11111111111111,1.1111111111111112,5.444444444444445,1.2222222222222223,2.2222222222222223,0.3333333333333333,1.1111111111111112,0.6666666666666666,18612,1001 to 10000,
Y,45.16,0,35.48,0.8,1.36,0,1,0.48,18612,1001 to 10000,
N,0,0,0,0,0,0,0,0,980469,201 to 1000,
Y,1.4333333333333333,0,0,0,0.3,0,0,0,980469,201 to 1000,
N,15.454545454545455,14.909090909090908,82.81818181818181,0,1.3636363636363635,1.2727272727272727,1.6363636363636365,0,7709555,11 to 25,
Y,30.326923076923077,4.25,17.46153846153846,0,2.519230769230769,1.1538461538461537,1.9423076923076923,0,7709555,11 to 25,
N,1.6666666666666667,0.6666666666666666,0.6666666666666666,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,16000001,6 to 10,
N,2.75,5,3,0,1,1,0.75,0,2422148,6 to 10,
Y,22.93877551020408,27.816326530612244,2.7551020408163267,0.5714285714285714,1.7142857142857142,2.061224489795918,0.5918367346938775,0.2857142857142857,2422148,6 to 10,
N,31.217391304347824,26.608695652173914,43.21739130434783,0,4.434782608695652,3.4347826086956523,4.260869565217392,0,3183942,11 to 25,
Y,32.30612244897959,22.448979591836736,59.36734693877551,1.183673469387755,3.816326530612245,2.36734693877551,3.2653061224489797,0.5102040816326531,3183942,11 to 25,
N,29.9,23.7,217.3,0,2.1,1.7,2.1,0,7838618,6 to 10,
Y,60.541666666666664,42.5,64.33333333333333,0,1,1.0833333333333333,1,0,7838618,6 to 10,
N,46.31578947368421,15.421052631578947,6.947368421052632,0,1.894736842105263,1.5789473684210527,1.105263157894737,0,16000001,26 to 50,COMPUTER_SOFTWARE
Y,1099.4705882352941,357.94117647058823,177.88235294117646,0,6.411764705882353,5.117647058823529,5.529411764705882,0,16000001,26 to 50,COMPUTER_SOFTWARE
N,0,0,0,0,0,0,0,0,1704304,11 to 25,MEDICAL_DEVICES
Y,232.20833333333334,118.75,27.166666666666668,2.0416666666666665,6.708333333333333,4.125,4.25,0.625,1704304,11 to 25,MEDICAL_DEVICES
N,32.2,9.2,9.4,0,4.6,2.4,2.6,0,16000001,26 to 50,COMPUTER_SOFTWARE
